등번호,이름,팀명,포지션,생년월일,학력,키_cm,몸무게_kg
,,22.0,장승현,두산,인천서림초-동산중-제물포고-두산-경찰,,
,,128.0,전경원,LG,연현초-성남중-성남고-SK-상무-SSG,,
,,32.0,전준호,LG,양도초-강남중-청원고,,
,,42.0,정보근,롯데,부산수영초-경남중-경남고,,
,,42.0,조대현,KT,길동초-매송중-유신고,,
,,20.0,조형우,SSG,송정동초-무등중-광주제일고-SK,,
,,25.0,주성원,고양,부산대연초(남구리틀)-신정중-개성고,,
,,22.0,주효상,KIA,역북초-강남중-서울고-히어로즈-키움,,
,,106.0,차동영,삼성,갈곡초(기흥구리틀)-모가중-강릉고,,
,,102.0,채은성,LG,순천북초-이수중-효천고,,
,,103.0,천현재,두산,연제초(부산남구리틀)-신정중-부경고-성균관대,,
,,42.0,최성락,고양,화순고-동의대,,
,,13.0,최재훈,한화,화곡초-덕수중-덕수고-(방송통신대)-두산-경찰-두산,,
,,43.0,최형우,삼성,전주고,,
,,26.0,한승택,KIA,잠전초(남양주리틀)-잠신중-덕수고-한화-경찰,,
,,55.0,한준수,KIA,광주서석초-광주동성중-광주동성고,,
,,67.0,한지윤,한화,가동초-휘문중-경기상고,,
,,12.0,허관회,한화,경동초(의정부리틀)-건대부중-경기고,,
,,59.0,허인서,한화,순천북초-여수중-효천고-한화-상무,,
,,8.0,현원회,SSG,가동초-경상중-대구고-SK,,
,,37.0,홍권민,고양,원주고,,
,,104.0,강동형,두산,용인초(구리리틀)-마산중-배명고-경성대,,
,,50.0,강백호,KT,부천북초-서울이수중-서울고,,
,,49.0,강진성,SSG,가동초-잠신중-경기고-NC-경찰-NC-두산,,
,,66.0,강하승,고양,진흥고-동국대,,
,,60.0,강현구,두산,서울도림초(인천남동구리틀)-동산중-인천고,,
,,65.0,고승민,롯데,군산신풍초-배명중-북일고,,
,,101.0,고승완,NC,광주대성초-무등중-광주동성고-연세대,,
,,57.0,고종욱,KIA,역삼초-대치중-경기고-한양대-히어로즈-상무-히어로즈-SK-SSG,,
,,5.0,구자욱,삼성,본리초-경복중-대구고-삼성-상무,,
,,17.0,권광민,한화,서울청구초-홍은중-장충고,,
,,36.0,권희동,NC,동천초-경주중-경주고-경남대-NC-상무,,
,,0.0,김건형,KT,먼우금초-Lesbois(중)-Timberline(고)-Boise State(대),,
,,27.0,김대한,두산,숭인초(강북구리틀)-덕수중-휘문고,,
,,100.0,김대현,롯데,광주서림초-광주충장BC-광주제일고-부산과학기술대,,
,,38.0,김동엽,키움,천안남산초-천안북중-북일고-SK-삼성,,
,,124.0,김동준,두산,군산신풍초-군산중-군산상고,,
,,50.0,김동혁,롯데,서화초-상인천중-제물포고-강릉영동대,,
,,64.0,김동현,롯데,인천병방초(인천서구리틀)-재능중-제물포고-부산과학기술대,,
,,2.0,김민석,두산,신도초-휘문중-휘문고-롯데,,
,,4.0,김민수,KIA,부산수영초-경남중-경남고,,
